	unsorted	sorted
0	[12, 9, 20, 7, 5]	[5, 7, 9, 12, 20]
1	[4, 4, 25, 20, 12]	[4, 4, 12, 20, 25]
2	[10, 15, 5, 10, 24]	[5, 10, 10, 15, 24]
3	[6, 6, 15, 16, 25]	[6, 6, 15, 16, 25]
4	[25, 25, 12, 20, 18]	[12, 18, 20, 25, 25]
5	[10, 2, 18, 16, 36]	[2, 10, 16, 18, 36]
6	[6, 30, 12, 32, 12]	[6, 12, 12, 30, 32]
7	[1, 6, 24, 5, 10]	[1, 5, 6, 10, 24]
8	[8, 30, 12, 14, 28]	[8, 12, 14, 28, 30]
9	[15, 12, 6, 12, 24]	[6, 12, 12, 15, 24]
10	[5, 5, 18, 7, 25]	[5, 5, 7, 18, 25]
11	[3, 3, 6, 24, 18]	[3, 3, 6, 18, 24]
12	[10, 12, 15, 24, 15]	[10, 12, 15, 15, 24]
13	[10, 15, 3, 24, 35]	[3, 10, 15, 24, 35]
14	[1, 2, 7, 20, 16]	[1, 2, 7, 16, 20]
15	[2, 8, 14, 4, 18]	[2, 4, 8, 14, 18]
16	[3, 12, 3, 12, 8]	[3, 3, 8, 12, 12]
17	[5, 20, 9, 20, 24]	[5, 9, 20, 20, 24]
18	[2, 10, 7, 15, 15]	[2, 7, 10, 15, 15]
19	[1, 8, 12, 6, 24]	[1, 6, 8, 12, 24]
20	[4, 15, 15, 30, 28]	[4, 15, 15, 28, 30]
21	[12, 12, 12, 12, 10]	[10, 12, 12, 12, 12]
22	[8, 25, 12, 16, 5]	[5, 8, 12, 16, 25]
23	[6, 10, 6, 28, 24]	[6, 6, 10, 24, 28]
24	[5, 12, 28, 25, 16]	[5, 12, 16, 25, 28]
25	[8, 24, 28, 16, 8]	[8, 8, 16, 24, 28]
26	[5, 10, 21, 40, 10]	[5, 10, 10, 21, 40]
27	[4, 15, 3, 28, 18]	[3, 4, 15, 18, 28]
28	[6, 15, 18, 16, 7]	[6, 7, 15, 16, 18]
29	[16, 16, 7, 12, 27]	[7, 12, 16, 16, 27]
30	[16, 20, 12, 20, 25]	[12, 16, 20, 20, 25]
31	[4, 3, 35, 20, 28]	[3, 4, 20, 28, 35]
32	[12, 12, 35, 12, 25]	[12, 12, 12, 25, 35]
33	[10, 24, 14, 24, 45]	[10, 14, 24, 24, 45]
34	[20, 12, 16, 18, 30]	[12, 16, 18, 20, 30]
35	[5, 5, 7, 16, 18]	[5, 5, 7, 16, 18]
36	[2, 18, 15, 24, 7]	[2, 7, 15, 18, 24]
37	[4, 6, 35, 16, 24]	[4, 6, 16, 24, 35]
38	[12, 9, 21, 10, 45]	[9, 10, 12, 21, 45]
39	[5, 12, 3, 4, 10]	[3, 4, 5, 10, 12]
40	[5, 5, 15, 35, 25]	[5, 5, 15, 25, 35]
41	[3, 12, 10, 20, 14]	[3, 10, 12, 14, 20]
42	[15, 30, 10, 40, 24]	[10, 15, 24, 30, 40]
43	[20, 8, 10, 21, 20]	[8, 10, 20, 20, 21]
44	[5, 20, 10, 24, 20]	[5, 10, 20, 20, 24]
45	[16, 10, 16, 8, 20]	[8, 10, 16, 16, 20]
